ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
518,You Will Believe: The Cinematic Saga of Superman,(2006 Video),Documentary,89 min,a Plot,7.9,Good
519,Greatest Ever 80s films,(2007 TV film),Documentary,120 min,a Plot,5.8,Bad
520,100 Bullets,,"Action,Drama,Thriller",0,A man offers people who have been wronged an unexpected form of vengeance.,0.0,Bad
521,The Science of Superman,(2006 TV film),Documentary,51 min,"""Science of Superman"" interviews the experts and uses highlights from comic books, television and film - including scenes from the 2006 summer blockbuster, ""Superman Returns"" - to examine ...                See full summary »",7.0,Good
522,Aquaman: Battle for Atlantis,(2003 Video Game),"Action,Adventure,Fantasy",0,"After being presumed dead, Black Manta has returned and intends to destroy kingdom of Atlantis. In order to protect his subjects and the rest of the seven seas, Aquaman must venture into his city, save his people, and defeat Black Manta.",3.5,Bad
523,The Devil You Know: Inside the Mind of Todd McFarlane,-2001,"Documentary,Biography",77 min,A film about the life and career of the famed Canadian comic book talent.,6.4,Bad
524,Batman,(1991 Video Game),"Action,Fantasy",0,a Plot,7.3,Good
525,First Flight: The Fleischer Superman Series,(2006 Video),"Documentary,Short",13 min,Superman leaps off the comic page for the first time in this animated series that ran from 1941-1942.,7.0,Good
526,DC Nation's Farm League,(2012– ),"Animation,Fantasy,Sci-Fi",1 min,"The adventures of the Justice League on a comedic animal version that includes Bat-Mongoose, Wonder Wombat, and Super-Manatee",6.3,Bad
527,Supergirl: The Making of the film,(1984 TV film),Documentary,60 min,"A documentary filmed during production of the film ""Supergirl"" showing the world how and who made it. This interesting featurette includes interviews with the cast and crew along with ...                See full summary »",5.5,Bad
528,The Making of 'Superman III',(1985 TV film),Documentary,48 min,"This documentary treats film fans to a behind-the-scenes look at the making of Superman III, a more comical take on the superhero story in which the Man of Steel takes on a supercomputer ...                See full summary »",6.1,Bad
529,Project 13,(2018– ),"Action,Crime,Drama",45 min,a Plot,0.0,Bad
530,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Dark Side of the Knight,(2005 Video),"Documentary,Short",30 min,An overview of the making of Batman Returns (1992).,7.3,Good
531,Taking Flight: The Development of 'Superman',(2001 Video),"Documentary,Short",30 min,McClure presents a documentary on the making of Superman (1978).,7.3,Good
532,Legends of the Dark Knight: The History of Batman,(2005 Video),"Documentary,Short",41 min,A look at the history of the Batman comic franchise.,7.9,Good
533,Making 'Superman': Filming the Legend,(2001 Video),"Documentary,Short",31 min,a Plot,7.5,Good
534,Batman Begins: Path to Discovery,(2005 Video),"Documentary,Short",14 min,A look behind the scenes at the making of Batman Begins (2005).,7.2,Good
535,Batman: The Journey Begins,(2005 Video),"Documentary,Short",14 min,An overview of how Batman Begins (2005) was taken from concept to realization.,7.7,Good
536,The Mythology of Superman,(2006 Video),"Documentary,Short",20 min,An exploration of the mythological roots of the Man of Steel.,7.3,Good
537,Batman Returns Villains: Catwoman,(2005 Video),"Documentary,Short",5 min,Featurette on Michelle Pfeiffer's character in Batman Returns (1992).,6.6,Bad
538,Batman Heroes: Harvey Dent,(2005 Video),"Documentary,Short",2 min,Featurette on Billy Dee Williams' character in Batman (1989).,6.1,Bad
539,The Worst Batman Fanfilm Ever... Period,-2016,"Short,Action,Comedy",3 min,"Mr. Freeze, (Not Exactly) Batman and CIA collide in a plotless spoof of a fan film.",7.3,Good
540,Galaxian,(1979 Video Game),"Action,Sci-Fi",0,Face waves of aliens descending on your spaceship and clear the screen to achieve victory.,7.1,Good
541,Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Legend Reborn,(2005 Video),"Documentary,Short",31 min,An overview of the making of the film Batman (1989).,7.6,Good
542,Batman Villains: Bob the Goon,(2005 Video),"Documentary,Short",2 min,Profile featurette on Tracey Walter's character in Batman (1989).,7.3,Good
543,Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Gathering Storm,(2005 Video),"Documentary,Short",23 min,An overview of the development of the film Batman (1989).,7.4,Good
544,Shaping Mind and Body,(2005 Video),"Documentary,Short",13 min,"How Christian Bale got himself into shape, both physically and mentally, in order to play Batman for the film Batman Begins (2005).",7.0,Good
545,The Making of 'Superman: The film',(1980 TV film),Documentary,52 min,"Ernie Anderson narrates this look at the making of Richard Donner's blockbuster 1978 film. Behind-the-scenes footage, as well as scenes from the film, reveal just how audiences were able to...                See full summary »",7.3,Good
546,Saving Gotham City,(2005 Video),"Documentary,Short",13 min,A look at the effects work for the film Batman Begins (2005).,7.1,Good
547,From Rivals to Romance: The Making of Lois and Clark,(2005 Video),Short,26 min,A documentary about the making of Lois & Clark: The New Adventures of Superman (1993).,7.7,Good
548,Genesis of the Bat,(2005 Video),"Documentary,Short",15 min,"A look at the cultural influence of Batman, and the various film and comic book incarnations of the character, with a specific focus on the film Batman Begins (2005).",7.1,Good
549,The Magic Behind the Cape,(2001 Video),"Documentary,Short",24 min,The story of the development of the visual effects used in the first Christopher Reeve Superman film.,7.9,Good
550,Smallville: Justice and Doom,(2007 TV film),"Animation,Sci-Fi",0,a Plot,6.5,Bad
551,Frank Skinner on Muhammad Ali,(2017 TV film),"Documentary,Sport",60 min,"k Skinner learns more about his sporting hero Muhammad Ali, visiting key locations and people in his life - including the bare knuckle fighter from Oxfordshire who became one of Ali's dear friends.",7.2,Good
552,Batman: The Tumbler,(2005 Video),"Documentary,Short",14 min,An overview of the design process of the Batmobile for the film Batman Begins (2005).,7.4,Good
553,Batman Returns Villains: The Penguin,(2005 Video),"Documentary,Short",4 min,Featurette on Danny DeVito's character in Batman Returns (1992).,6.2,Bad
554,"Beyond Batman: Bats, Mattes & Dark Nights - The Visual FX of Batman Returns",(2005 Video),"Documentary,Short",12 min,A look at the special effects work on the film Batman Returns (1992).,7.3,Good
555,"Beyond Batman: Sleek, Sexy and Sinister - The Costumes of Batman Returns",(2005 Video),"Documentary,Short",13 min,A look at the costume design for the film Batman Returns (1992).,6.9,Bad
556,Cape and Cowl,(2005 Video),"Documentary,Short",8 min,A look at how the costumes were created for the film Batman Begins (2005).,6.8,Bad
557,Wonder Woman: The Ultimate Feminist Icon,(2005 Video),Short,14 min,Lynda Carter and four female authors discuss the status of Wonder Woman as a feminist icon.,7.7,Good
558,The Complete Robin Storyboard Sequence,(2005 Video),"Animation,Short,Action",4 min,"Reconstruction, using the original storyboard art and with character voiceovers, of the Robin cameo sequence from the Batman (1989) script, which was ultimately never filmed.",7.0,Good
559,Justice League: Alien Invasion,-2012,"Short,Adventure,Sci-Fi",12 min,a Plot,8.1,Good
560,Gotham City Rises,(2005 Video),"Documentary,Short",13 min,An overview of the production design work for the film Batman Begins (2005).,7.3,Good
561,Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Road to Gotham City,(2005 Video),"Documentary,Short",18 min,A look at how the Batman franchise was revived by the film Batman (1989).,7.5,Good
562,Beyond Batman: Inside the Elfman Studio - The Music of Batman Returns,(2005 Video),"Documentary,Short,Music",11 min,A look at the composition of the music for the film Batman Returns (1992).,6.8,Bad
563,Batman Returns Heroes: Alfred,(2005 Video),"Documentary,Short",4 min,Featurette on Michael Gough's character in Batman Returns (1992).,6.8,Bad
564,DC Fandome - CNN Heroes: Real Life Heroes in the Age of Coronavirus,(2020 TV Special),,0,a Plot,0.0,Bad
565,Batman Returns Villains: Max Shreck,(2005 Video),"Documentary,Short",2 min,Featurette on Christopher Walken's character in Batman Returns (1992).,6.2,Bad
566,Body and Soul,(1984 TV film),"Comedy,Family,Music",60 min,Lynda Carter's fifth variety special.,9.0,Very Good
567,Beyond Batman: Making Up the Penguin,(2005 Video),"Documentary,Short",8 min,A look at the makeup design for the film Batman Returns (1992).,6.8,Bad
568,The Making of 'Superman II',(1982 TV film),Documentary,52 min,Documentary about the making of the sequel to Superman.,7.0,Good
569,Batman Returns Heroes: Batman,(2005 Video),"Documentary,Short",3 min,An overview of the Batman character as portrayed in Batman Returns (1992).,6.5,Bad
570,Film Club,(2002 TV film),Documentary,45 min,a Plot,0.0,Bad
571,Beyond Batman: Assembling the Arctic Army,(2005 Video),"Documentary,Short",10 min,A look at how the penguin army was filmed during the shooting of Batman Returns (1992).,6.9,Bad
572,Revolutionizing a Classic: From Comic Book to Television - The Evolution of Wonder Woman from Page to Screen,(2005 Video),"Documentary,Short",0,"A look at the second season of Wonder Woman, when the show moved to CBS and into the 70's.",7.8,Good
573,Batman Heroes: Vicki Vale,(2005 Video),"Documentary,Short",2 min,Featurette on Kim Basinger's character in the film Batman (1989).,7.0,Good
574,Superman,(I) (1987 Video Game),"Action,Adventure,Sci-Fi",0,Aliens invade planet Earth and only Superman can save us.,6.3,Bad
575,Batman: Night's End,-2011,Short,15 min,"Batman seeks Claire Williams, a Wayne Enterprises employee who designed the prototype of new type of hologram who has been reported missing. To rescue her, he must battle his way through a ...                See full summary »",7.4,Good
576,Guarding the Balance: Batman and the JLA,(2012 Video),Short,19 min,a Plot,6.4,Bad
577,Beyond Batman: Gotham City Revisited - The Production Design of Batman Returns,(2005 Video),"Documentary,Short",11 min,A look at the production design work for the film Batman Returns (1992).,6.8,Bad
578,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Batman Unbound,(2005 Video),"Documentary,Short",27 min,a Plot,5.9,Bad
579,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Reinventing a Hero,(2005 Video),"Documentary,Short",28 min,a Plot,6.6,Bad
580,The Death and Return of Superman,(1994 Video Game),"Action,Adventure,Fantasy",0,"When an unknown monster named Doomsday invades Metropolis, Superman must fight him in an epic and fierce battle to save the city.",7.3,Good
581,Batman Heroes: Alexander Knox,(2005 Video),"Documentary,Short",2 min,Featurette on Robert Wuhl's character in Batman (1989).,6.2,Bad
582,Batman Heroes: Commissioner Gordon,(2005 Video),"Documentary,Short",2 min,Featurette on Pat Hingle's character in Batman (1989).,6.0,Bad
583,Wonder Woman: A Subversive Dream,(2009 Video),"Documentary,Short",25 min,"Examines why Wonder Woman is important in the grand scheme of the DC Super Heroes and how she helped define a new generation of empowered women, who realized that their gifts of intellect and strength were as powerful as those from men.",7.1,Good
584,The Super Human In Us All,(2017 Video),Documentary,49 min,a Plot,0.0,Bad
585,Superman II: Restoring the Vision,(2006 Video),"Documentary,Short",13 min,a Plot,7.9,Good
586,A Sneek Peak at Justice League: Doom,(2011 Video),"Documentary,Short",10 min,a Plot,6.0,Bad
587,Superboy: Spies from Outer Space,(1996 Video Game),,0,a Plot,0.0,Bad
588,Aquaman: War of the Water Worlds,(1996 Video Game),"Adventure,Family,Fantasy",0,Interactive motion comic adaptation of an episode from Aquaman 1968 animated TV series. The show's villains have united and captured all of Aquaman's sea friends. Can he stop their plan to finally take over the oceans and then the land?,7.8,Good
589,Superman: The Mysterious Mr. Mist,(1996 Video Game),,0,a Plot,4.6,Bad
590,Batman: Partners in Peril,(1996 Video Game),,0,a Plot,6.6,Bad
591,Batman Returns,(II) (1993 Video Game),,0,a Plot,0.0,Bad
592,Playstation Underground Volume 4,(1998 Video Game),,0,a Plot,0.0,Bad
1023,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",24 min,The Dog Stars argue as to who should take over the ship when Brainy Barker becomes incapacitated. Snooky infiltrates Streaky's fan club in order to scheme against Supercat and Superdog.,8.4,Good
1024,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"Lionel Luthor is chased by a man with a mask and forced to play hangman to save his life when he traps Lionel in his limo in the path of a moving train. Later, he is abducted by the same ...                See full summary »",8.5,Very Good
1025,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"Krypto tells the story about how he arrived on Earth and met Kevin. Krypto continues his story, explaining how he became known as Superdog.",7.3,Good
1271,Legends of the Superheroes,-1979,"Action,Comedy,Adventure",0,"Ed McMahon hosts this special gathering in which the greatest DC heroes are roasted and toasted by some of their greatest enemies, lesser known colleagues and family members.",5.7,Bad
1556,DC Super Hero Girls,(2015–2018),"Animation,Short,Action",0,Jessica faces her fears as she takes on Sinestro.,0.0,Bad
